item,description,price,image
Mighty Kafta,"Kebab mix with cheese, tomatoes and mayo on top. Served as a flatbread or wrapped.",26.4,https://images.deliveryhero.io/image/talabat/Menuitems/AB54D54BF3AA0A550104D4CC2754A50C?width=172&amp;height=172
Shawarma Wrap,"White flatbread, beef shawarma, tomato, parsley, spring onion with a delicious tahini sauce.",25.6,https://images.deliveryhero.io/image/talabat/Menuitems/A5C9E74BDB1900E12B6CEA9B5BF58A98?width=172&amp;height=172
Spizy Chicken,"Marinated chicken with bell pepper, rocket leaves, onions, melted cheese and our mild spicy sauce on top.",28,https://images.deliveryhero.io/image/talabat/Menuitems/4E5D58B00E598D3D661139F3C28F2AC4?width=172&amp;height=172
Taouk Wrap,"Marinated chicken, fries pickles & garlic mayo sauce.",26.4,https://images.deliveryhero.io/image/talabat/Menuitems/1B22CC0A3494F46C086FFC24AAD16FF1?width=172&amp;height=172
Turkey & Cheese,"Melted cheese topped with slices of smoked turkey, pickles, lettuce and tomatoes and mustard mayo.",24,https://images.deliveryhero.io/image/talabat/Menuitems/6FDDB3A1A482745248F43B25D533F657?width=172&amp;height=172
Classic Batata,"Crispy cut fries wrapped with coleslaw, pickles, ketchup & garlic mayo sauce.",14.4,https://images.deliveryhero.io/image/talabat/Menuitems/0085DD61D7A96DBC15C36ED4CDE4EBC7?width=172&amp;height=172
Chicken Shawarma,"Our signature seasoned shawarma chicken with lettuce, pickles, homegrown Fries & garlic mayo sauce.",23.2,https://images.deliveryhero.io/image/talabat/Menuitems/04591B2C77853B1C9D4D80F1DD9F2928?width=172&amp;height=172
Angus Boom,"Grilled black angus ground beef seasoned with special spice mix & topped with melted four cheese, tomato, onion, pickles, ketchup & mayo wrapped in our freshly baked bun. Served with side coleslaw & fries.",44,https://images.deliveryhero.io/image/talabat/Menuitems/C3495AA8ABC21E3221F4C42051113323?width=172&amp;height=172
Chicken Boom,"Flaming grilled chicken breast topped with melted four cheese, tomato, mushroom, pickles & garlic mayo wrapped in our freshly baked bun. Served with side coleslaw & fries.",44,https://images.deliveryhero.io/image/talabat/Menuitems/93FF7949929A86D331D63AC941843987?width=172&amp;height=172
Swiss Boom,"Grilled black angus ground beef seasoned with our special spice mix, topped with melted swiss cheese & savory mix of grilled onions & mushrooms wrapped in our freshly baked bun. Served with side coleslaw & fries.",46,https://images.deliveryhero.io/image/talabat/Menuitems/5F4466602BED1E6CFED0582E073EEE19?width=172&amp;height=172
Halloumi,The famous halloumi cheese.,26,https://images.deliveryhero.io/image/talabat/Menuitems/903E58AA1DEF10730C3CC63265E6B2C8?width=172&amp;height=172
Jebneh,The traditional melted cheese mankousheh.,15,https://images.deliveryhero.io/image/talabat/Menuitems/F24DF970D9B8DDC12E0AFA35782B5BC0?width=172&amp;height=172
Kashkawan,Experience the heavenly taste of melted kashkawan cheese.,22,https://images.deliveryhero.io/image/talabat/Menuitems/0C9DD9F8D0A6EEBC1FB6F9AE6448D0B8?width=172&amp;height=172
Labneh Arous,"Creamy yogurt mixed with tapenade, tomatoes, cucumbers and fresh mint leaves. Wrapped in oat dough.",20,https://images.deliveryhero.io/image/talabat/Menuitems/67E4BC0EF72244D7D8016CAF34031EB6?width=172&amp;height=172
Lahmeh Bi Ajine,"Minced meat cooked with spices, onions and tomatoes.",15,https://images.deliveryhero.io/image/talabat/Menuitems/99150915C4C12C73A56412A771CD8407?width=172&amp;height=172
Light Halloumi,"Light halloumi cheese topped with tomatoes, cucumbers, mint, rocket leaves and purslane.",28,https://images.deliveryhero.io/image/talabat/Menuitems/08998BD12A47CC3DB47356797CADC6BB?width=172&amp;height=172
Wild Zaatar,Zaatar w Zeit version of Wild thyme and our special onion and tomato sauce on multi-cereal dough.,18,https://images.deliveryhero.io/image/talabat/Menuitems/6F2FBE21C1F822F4681BDB75D26CFFD5?width=172&amp;height=172
Zaatar,Dried thyme mixed with sesame and oil.,8,https://images.deliveryhero.io/image/talabat/Menuitems/0BEFB9D64F4A98AB8D07D786796A251B?width=172&amp;height=172
Zaatar & Cheese,Zaatar on one half and cheese on the other.,15,https://images.deliveryhero.io/image/talabat/Menuitems/95DE56A51AD6AE9788F831930990A036?width=172&amp;height=172
Zaatar & Labneh,The traditional thyme mix with creamy yogurt spread.,15,https://images.deliveryhero.io/image/talabat/Menuitems/69CADE6D686F9C357BBBC6426B46F471?width=172&amp;height=172
Spreadable Cheese Kaakeh,The all-time classic spreadable cheese,18,https://images.deliveryhero.io/image/talabat/Menuitems/C527DEE8F0710BB56FAE7B6543E13E77?width=172&amp;height=172
Truffle Shanklish,Shanklish mixed with diced avocado & tomato. Drizzled with truffle oil,23,https://images.deliveryhero.io/image/talabat/Menuitems/3A795B2E4682468FE93C4B19F8B6B455?width=172&amp;height=172
Mini Chicken Breaded,3 pieces of breaded chicken fillet strips served with honey mustard  served with fries and Drink,27,https://images.deliveryhero.io/image/talabat/Menuitems/BBBE8B1DCD14693D15792B9D8900CB9F?width=172&amp;height=172
Mini Chicken Wrap,"Marinated chicken with melted cheese, lettuce, tomatoes, mayo served with fries and Drink",27,https://images.deliveryhero.io/image/talabat/Menuitems/15ABE97D2C1EBB01CBCCAF5174F24519?width=172&amp;height=172
Mini Frankfurter,"Slices of frankfurter with melted cheese, topped with our mayo and ketchup sauce  served with fries and Drink",27,https://images.deliveryhero.io/image/talabat/Menuitems/8329EFFE0C3C85265EA2983E0E8DBAA7?width=172&amp;height=172
Mini Kafta Wrap,Kebab mix spread on dough  served with fries and Drink,27,https://images.deliveryhero.io/image/talabat/Menuitems/55CD02CEE2E1C0BD1EFF65F1261C64DF?width=172&amp;height=172
Mini Pizza,"Tomato sauce on dough, smothered with four cheese  served with fries and Drink",27,https://images.deliveryhero.io/image/talabat/Menuitems/5A8EEC72C9215F4FD3F8F6A5FDB65B55?width=172&amp;height=172
Mini Taouk Wrap,"Marinated chicken, pickles, mayo served with fries and Drink",27,https://images.deliveryhero.io/image/talabat/Menuitems/CCD1E725DCAF306EC4E80ADFCD1ACACB?width=172&amp;height=172
Bbq Chicken Pizza,"Barbecue sauce, chicken, fresh mushroom, green pepper, cheddar & mozzarella cheese, coriander & olives.",45,https://images.deliveryhero.io/image/talabat/Menuitems/9AD61D5C1529AF3B06E0FB749EEA7BD6?width=172&amp;height=172
Meat Craze Pizza,"Tomato sauce covered with a tasty mix of beef, onions and bell pepper, smothered in melted four cheese. Topped with beef pepperoni, cherry tomatoes, mushrooms and spring onions.",46,https://images.deliveryhero.io/image/talabat/Menuitems/F97B0207949D72A6D0448CE76F58DA00?width=172&amp;height=172
Pepperoni Pizza,"Tomato sauce with mozzarella cheese, fresh mushroom and pepperoni.",41,https://images.deliveryhero.io/image/talabat/Menuitems/1227EDCE9432ACD8C99F88F2312923AE?width=172&amp;height=172
Traditional Pizza,"Tomato sauce with mozzarella cheese, beef slices and fresh mushroom.",40,https://images.deliveryhero.io/image/talabat/Menuitems/C3F5D6250D74BB20BECF146F5ED81A65?width=172&amp;height=172
Ultimate Cheese Pizza,Tomato sauce on dough smothered in four cheese,36,https://images.deliveryhero.io/image/talabat/Menuitems/48D921506083DA22C5C31470D4AF440D?width=172&amp;height=172
Veggie Pizza,"Pesto sauce, zucchini, mozzarella & feta cheese, olives, hot green pepper, cherry tomatoes, rocket leaves & fresh onions.",44,https://images.deliveryhero.io/image/talabat/Menuitems/5A485A7194AA01907FC9BCF3E8D7BFB0?width=172&amp;height=172
Eggs Your Way,"3 eggs cooked your way. Served with freshly baked bread, mint leaves, tomatoes, cucumbers and olives",22,https://images.deliveryhero.io/image/talabat/Menuitems/9CCBA65122085564BABBC025AC6D64BE?width=172&amp;height=172
Fresh Vegetable Plate,"A plate of fresh green mint, tomato, cucumbers and olives.",6,https://images.deliveryhero.io/image/talabat/Menuitems/70C66A7CF12CD473A0B9612E2C6FAE42?width=172&amp;height=172
Halloumi Pan,"Slices of baked halloumi cheese. Served with freshly baked bread, mint leaves, tomatoes, cucumbers and olives",34,https://images.deliveryhero.io/image/talabat/Menuitems/E155D2727884FC1B0577081C935905C8?width=172&amp;height=172
